x_value,total_1,total_2
0,1000,1000
1,1000,1004
2,994,1010
3,996,1007
4,996,1013
5,1000,1008
6,1001,1012
7,1009,1012
8,1008,1008
9,1011,1010
10,1015,1009
11,1017,1006
12,1023,1009
13,1017,1007
14,1019,1011
15,1014,1011
16,1019,1016
17,1021,1014
18,1020,1010
19,1019,1005
20,1016,1005
21,1015,1011
22,1010,1009
23,1008,1005
24,1015,1002
25,1012,1008
26,1018,1007
27,1020,1008
28,1015,1011
29,1017,1017
30,1014,1021
31,1021,1026
32,1028,1022
33,1029,1019
34,1028,1014
35,1033,1014
36,1027,1010
37,1024,1011
38,1031,1013
39,1033,1015
40,1029,1013
41,1028,1014
42,1031,1015
43,1031,1019
44,1025,1025
45,1021,1026
46,1028,1026
47,1028,1027
48,1023,1024
49,1018,1028
50,1022,1034
51,1030,1040
52,1028,1041
53,1031,1047
54,1037,1046
55,1045,1043
56,1041,1042
57,1035,1040
58,1033,1040
59,1033,1044
60,1033,1044
61,1027,1041
62,1028,1040
63,1033,1044
64,1038,1047
65,1041,1043
66,1049,1049
67,1050,1049
68,1046,1055
69,1053,1058
70,1053,1062
71,1047,1066
72,1045,1072
73,1041,1076
74,1040,1073
75,1047,1079
76,1049,1077
77,1043,1081
78,1043,1079
79,1044,1076
80,1052,1081
81,1051,1084
82,1058,1084
83,1056,1079
84,1062,1078
85,1067,1082
86,1068,1078
87,1069,1075
88,1068,1081
89,1075,1082
90,1073,1078
91,1078,1077
92,1078,1074
93,1074,1078
94,1072,1077
95,1075,1073
96,1071,1075
97,1076,1079
98,1075,1077
99,1070,1078
100,1069,1078
101,1072,1083
102,1077,1088
103,1072,1084
104,1066,1089
105,1067,1089
106,1067,1085
107,1069,1081
108,1070,1081
109,1072,1084
110,1077,1079
111,1073,1074
112,1070,1079
113,1075,1078
114,1073,1083
115,1078,1082
116,1082,1083
117,1085,1087
118,1091,1087
119,1099,1084
120,1096,1090
121,1090,1091
122,1093,1092
123,1087,1096
124,1081,1095
125,1086,1092
126,1091,1087
127,1095,1089
128,1100,1094
129,1104,1090
130,1109,1094
131,1104,1094
132,1112,1090
133,1118,1092
134,1115,1092
135,1116,1087
136,1110,1083
137,1108,1082
138,1113,1078
139,1115,1078
140,1121,1076
141,1120,1079
142,1116,1081
143,1118,1077
144,1117,1083
145,1119,1078
146,1123,1073
147,1121,1079
148,1125,1081
149,1127,1087
150,1130,1088
151,1131,1091
152,1139,1091
153,1138,1097
154,1139,1092
155,1136,1089
156,1139,1086
157,1135,1082
158,1135,1083
159,1141,1084
160,1138,1088
161,1144,1093
162,1149,1090
163,1152,1096
164,1150,1099
165,1153,1096
166,1160,1101
167,1156,1098
168,1154,1103
169,1152,1100
170,1156,1097
171,1157,1095
172,1153,1100
173,1154,1095
174,1156,1101
175,1157,1106
176,1158,1106
177,1163,1104
178,1169,1107
179,1164,1105
180,1165,1109
181,1167,1110
182,1171,1115
183,1168,1111
184,1168,1117
185,1171,1123
186,1168,1127
187,1176,1123
188,1182,1124
189,1178,1119
190,1172,1122
191,1168,1118
192,1167,1120
193,1173,1118
194,1169,1124
195,1170,1125
196,1172,1130
197,1180,1136
198,1180,1133
199,1176,1130
200,1173,1126
201,1180,1132
202,1179,1130
203,1185,1135
204,1188,1139
205,1196,1143
206,1191,1148
207,1199,1148
208,1203,1151
209,1209,1148
210,1217,1151
211,1223,1152
212,1219,1148
213,1217,1147
214,1221,1142
215,1228,1141
216,1226,1139
217,1231,1143
218,1234,1145
219,1236,1140
220,1240,1139
221,1248,1139
222,1252,1140
223,1251,1145
224,1254,1144
225,1255,1141
226,1254,1139
227,1256,1145
228,1257,1150
229,1252,1155
230,1250,1159
231,1251,1155
232,1246,1152
233,1250,1158
234,1246,1164
235,1249,1159
236,1248,1164
237,1242,1165
238,1249,1171
239,1243,1168
240,1249,1163
241,1253,1164
242,1247,1164
243,1248,1160
244,1245,1157
245,1251,1159
246,1251,1158
247,1246,1164
248,1242,1170
249,1242,1167
250,1242,1173
251,1240,1172
252,1246,1168
253,1250,1172
